Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
520213,FROEDTERT HLTH NEIGHORHOOD HOSP LLC,2020-12-22,2021-06-30,16
100053,HIALEAH HOSPITAL,2021-06-01,2021-07-31,340
200008,MERCY HOSPITAL,2020-10-01,2021-09-30,103
450272,CHRISTUS SANTA ROSA - SAN MARCOS,2021-01-01,2021-06-30,115
241364,COMMUNITY MEMORIAL HOSPITAL,2020-10-01,2021-09-30,66
241373,PERHAM MEMORIAL HOSPITAL AND HOME,2020-10-01,2021-09-30,121
140062,PALOS COMMUNITY HOSPITAL,2021-01-01,2021-08-31,413
443033,QUILLEN REHABILITATION HOSPITAL  A,2020-10-01,2021-09-30,31
521320,TOMAH MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
60054,COMMUNITY HOSPITAL,2021-01-01,2021-12-31,44
490033,WARREN MEMORIAL HOSPITAL,2020-10-01,2021-09-30,166
14015,BEACON CHILDRENS HOSPITAL,2021-01-01,2021-12-31,
70031,THE GRIFFIN HOSPITAL,2020-10-01,2021-09-30,119
240044,WINONA HEALTH SERVICES,2020-10-01,2021-09-30,41
241320,RIVERVIEW HEALTHCARE ASSOCIATION,2020-10-01,2021-09-30,49
421303,WILLIAMSBURG REGIONAL HOSPITAL,2020-10-01,2021-09-30,25
363034,ENCOMPASS HEALTH REHABILITATION HOSP,2020-10-01,2021-09-30,100
420072,HAMPTON REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,32
11300,WASHINGTON COUNTY HOSPITAL,2020-10-01,2021-09-30,103
13301,USA CHILDRENS AND WOMENS HOSPITAL,2020-10-01,2021-09-30,247
340188,CAPE FEAR VALLEY HOKE HOSPITAL,2020-10-01,2021-09-30,41
341315,BLADEN COUNTY HOSPITAL,2020-10-01,2021-09-30,25
341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
371301,PRAGUE COMMUNITY HOSPITAL,2021-01-01,2021-09-30,25
420007,SPARTANBURG REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,716
420103,PELHAM MEDICAL CENTER,2020-10-01,2021-09-30,48
421300,ALLENDALE COUNTY HOSPITAL,2020-10-01,2021-09-30,69
214020,J KENT MCNEW FAMILY MEDICAL CENTER,2020-12-04,2021-06-30,16
70018,GREENWICH HOSPITAL,2020-10-01,2021-09-30,186
111326,SGMC  LANIER CAMPUS,2020-10-01,2021-09-30,87
220012,CAPE COD HOSPITAL,2020-10-01,2021-09-30,259
220049,MARLBOROUGH HOSPITAL,2020-10-01,2021-09-30,67
301309,MONADNOCK COMMUNITY HOSPITAL,2020-10-01,2021-09-30,25
420015,PH BAPTIST EASLEY HOSPITAL,2020-10-01,2021-09-30,59
521351,REEDSBURG AREA MEDICAL CENTER,2020-10-01,2021-09-30,25
14014,BAYPOINTE BEHAVIORAL HEALTH,2020-10-01,2021-09-30,
141337,OSF SAINT CLARE MEDICAL CENTER,2021-07-01,2021-09-30,25
220010,LAWRENCE GENERAL HOSPITAL,2020-10-01,2021-09-30,186
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,2020-10-01,2021-09-30,154
340107,VIDANT EDGECOMBE HOSPITAL,2020-10-01,2021-09-30,117
340120,DUPLIN GENERAL HOSPITAL,2020-10-01,2021-09-30,49
340142,CARTERET COUNTY GENERAL HOSPITAL COM,2020-10-01,2021-09-30,99
340186,VIDANT BEAUFORT HOSPITAL,2020-10-01,2021-09-30,83
410010,WOMEN & INFANTS HOSPITAL,2020-10-01,2021-09-30,247
470005,RUTLAND REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,119
471300,GRACE COTTAGE HOSPITAL,2020-10-01,2021-09-30,19
70039,MASONICARE HEALTH CENTER,2020-10-01,2021-09-30,466
193028,BATON ROUGE REHAB HOSPITAL,2020-10-01,2021-09-30,81
220116,TUFTS MEDICAL CENTER,2020-10-01,2021-09-30,405
250018,JASPER GENERAL HOSPITAL,2020-10-01,2021-09-30,20
250036,GEORGE COUNTY HOSPITAL,2020-10-01,2021-09-30,39
251337,TIPPAH COUNTY HOSPITAL,2020-10-01,2021-09-30,65
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,2020-10-01,2021-09-30,3
421304,EDGEFIELD COUNTY HEALTHCARE,2020-10-01,2021-09-30,25
450399,BROWNFIELD REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,26
493036,SHELTERING ARMS INSTITUTE,2020-10-01,2021-09-30,114
520062,OCONOMOWOC MEMORIAL HOSPITAL,2020-10-01,2021-09-30,58
133028,SAINT ALPHONSUS REGIONAL REHABILITAT,2020-10-01,2021-09-30,40
341304,BERTIE MEMORIAL HOSPITAL,2020-10-01,2021-09-30,6
341318,CHOWAN HOSPITAL INC.,2020-10-01,2021-09-30,25
420102,PH PATEWOOD HOSPITAL,2020-10-01,2021-09-30,64
421301,ABBEVILLE AREA MEDICAL CENTER,2020-10-01,2021-09-30,25
450108,CONNALLY MEMORIAL MEDICAL CENTER,2020-10-01,2021-09-30,44
100062,ADVENTHEALTH OCALA,2020-10-01,2021-09-30,385
141339,TAYLORVILLE MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
301301,COTTAGE HOSPITAL,2020-10-01,2021-09-30,35
301302,LITTLETON REGIONAL HEALTHCARE,2020-10-01,2021-09-30,25
300005,CONCORD HOSPITAL - LACONIA,2021-05-01,2021-09-30,86
410009,KENT COUNTY MEMORIAL HOSPITAL,2020-10-01,2021-09-30,343
420048,KERSHAW HEALTH,2020-10-01,2021-07-31,165
453304,TEXAS CHILDRENS HOSPITAL,2020-10-01,2021-09-30,861
40050,OUACHITA COUNTY MEDICAL CENTER,2020-10-01,2021-09-30,93
70040,HEBREW HOME & HOSPITAL,2020-10-01,2021-09-30,38
140135,DECATUR MEMORIAL HOSPITAL,2020-10-01,2021-09-30,178
140167,IROQUOIS MEMORIAL HOSPITAL,2020-10-01,2021-09-30,61
140206,NORWEGIAN AMERICAN HOSPITAL,2020-10-01,2021-09-30,185
250081,ANDERSON REGIONAL MED CTR-SOUTH CAMP,2020-10-01,2021-09-30,69
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,2020-10-01,2021-09-30,354
470011,BRATTLEBORO MEMORIAL HOSPITAL,2020-10-01,2021-09-30,47
471305,COPLEY HOSPITAL  INC.,2020-10-01,2021-09-30,25
40067,MAGNOLIA REGIONAL HEALTH SYSTEM  INC,2020-10-01,2021-09-30,29
50146,CITY OF HOPE NATIONAL MEDICAL CTR,2020-10-01,2021-09-30,217
70033,DANBURY HOSPITAL,2020-10-01,2021-09-30,368
70034,NORWALK HOSPITAL,2020-10-01,2021-09-30,238
140058,PASSAVANT AREA HOSPITAL,2020-10-01,2021-09-30,121
300023,EXETER HOSPITAL  INC.,2020-10-01,2021-09-30,99
490005,WINCHESTER MEDICAL CENTER,2020-10-01,2021-09-30,512
41327,BRADLEY COUNTY MEDICAL CENTER,2020-10-01,2021-09-30,33
130006,ST. LUKES REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,579
130071,ST. LUKES NAMPA MEDICAL CENTER,2020-10-01,2021-09-30,87
220031,BOSTON MEDICAL CENTER,2020-10-01,2021-09-30,428
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,2020-10-01,2021-09-30,25
520210,MARSHFIELD MEDICAL CENTER-EAU CLAIRE,2020-10-01,2021-09-30,44
521343,STOUGHTON HOSPITAL ASSOCIATION,2020-10-01,2021-09-30,27
521359,MEMORIAL MEDICAL CENTER  INC.,2020-10-01,2021-09-30,35
70004,SHARON HOSPITAL,2020-10-01,2021-09-30,83
140148,MEMORIAL MEDICAL CENTER,2020-10-01,2021-09-30,459
301312,HUGGINS HOSPITAL,2020-10-01,2021-09-30,25
330084,ALICE HYDE MEDICAL CENTER,2020-10-01,2021-09-30,212
340123,RANDOLPH HOSPITAL,2020-10-01,2021-09-30,145
471303,NORTHEASTERN VT REGIONAL HOPSITAL,2020-10-01,2021-09-30,25
471304,NORTH COUNTRY HOSPITAL & HEALTH CTR,2020-10-01,2021-09-30,25
520109,MILE BLUFF MEDICAL CENTER  INC.,2020-10-01,2021-09-30,172
50002,ST ROSE HOSPITAL,2020-10-01,2021-09-30,153
180009,KINGS DAUGHTERS MEDICAL CENTER,2020-10-01,2021-09-30,387
220063,LOWELL GENERAL HOSPITAL,2020-10-01,2021-09-30,390
300001,CONCORD HOSPITAL  INC.,2020-10-01,2021-09-30,221
371318,FAIRFAX COMMUNITY HOSPITAL,2020-10-01,2021-09-30,15
380002,THREE RIVERS MEDICAL CENTER,2020-10-01,2021-09-30,125
380005,ASHLAND COMMUNITY HOSPITAL,2020-10-01,2021-09-30,36
380018,ROGUE REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,352
471301,GIFFORD MEDICAL CENTER,2020-10-01,2021-09-30,25
70028,ST. VINCENTS MEDICAL CENTER,2020-10-01,2021-09-30,302
100266,GULF BREEZE HOSPITAL,2020-10-01,2021-09-30,65
140114,SWEDISH COVENANT HEALTH,2020-10-01,2021-09-30,242
340097,HUGH CHATHAM MEMORIAL HOSPITAL,2020-10-01,2021-09-30,81
70029,BRISTOL HOSPITAL  INC,2020-10-01,2021-09-30,120
123025,REHABILITATION HOSPITAL OF THE PACIF,2020-10-01,2021-09-30,82
140213,SILVER CROSS HOSPITAL,2020-10-01,2021-09-30,300
220052,BROCKTON HOSPITAL  INC.,2020-10-01,2021-09-30,197
471306,SPRINGFIELD HOSPITAL,2020-10-01,2021-09-30,35
670132,METHODIST SOUTHLAKE HOSPITAL,2020-10-01,2021-05-31,54
50624,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,2020-10-01,2021-09-30,357
103027,ST JOHNS REHABILITATION HOSPITAL,2020-10-01,2021-09-30,207
130002,ST LUKES MAGIC VALLEY REG MED CTR,2020-10-01,2021-09-30,217
131312,ST. LUKES MCCALL,2020-10-01,2021-09-30,15
140015,BLESSING HOSPITAL,2020-10-01,2021-09-30,327
141315,BCC DBA ILLINI COMMUNITY HOSPITAL,2020-10-01,2021-09-30,35
200063,PENOBSCOT BAY MEDICAL CENTER,2020-10-01,2021-09-30,165
220070,MELROSEWAKEFIELD HEALTHCARE  INC,2020-10-01,2021-09-30,216
222000,SPAULDING HOSPITAL CAMBRIDGE,2020-10-01,2021-09-30,180
240052,LAKE REGION HEALTHCARE,2020-10-01,2021-09-30,94
341324,THE OUTER BANKS HOSPITAL,2020-10-01,2021-09-30,21
380050,SKY LAKES MEDICAL CENTER,2020-10-01,2021-09-30,90
470024,NORTHWESTERN MEDICAL CENTER,2020-10-01,2021-09-30,53
471307,PORTER HOSPITAL,2020-10-01,2021-09-30,25
14017,EASTPOINTE HOSPITAL,2020-10-01,2021-09-30,66
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,142
141317,GIBSON AREA HOSPITAL AND HEALTH SVCS,2020-10-01,2021-09-30,67
150082,DEACONESS HOSPITAL,2020-10-01,2021-09-30,549
230167,MCLAREN GREATER LANSING,2020-10-01,2021-09-30,249
230193,MCLAREN LAPEER REGION,2020-10-01,2021-09-30,131
444023,WOODRIDGE OF WEST TENNESSEE  LLC,2021-01-01,2021-12-31,40
70006,THE STAMFORD HOSPITAL,2020-10-01,2021-09-30,305
101312,FISHERMENS HOSPITAL,2020-10-01,2021-09-30,8
103026,ST CATHERINES REHAB HOSPITAL,2020-10-01,2021-09-30,272
170122,VIA CHRISTI HOSPITAL WICHITA,2020-10-01,2021-09-30,666
173028,VIA CHRISTI REHAB CENTER  INC,2020-10-01,2021-09-30,58
180056,DEACONESS HENDERSON HOSPITAL,2020-10-01,2021-09-30,118
220084,EMERSON HOSPITAL,2020-10-01,2021-09-30,160
230227,MCLAREN MACOMB,2020-10-01,2021-09-30,284
250072,CENTRAL MISSISSIPPI MEDICAL CENTER,2020-10-01,2021-09-30,289
264034,SOUTHEAST BEHAVIORAL HOSPITAL,2021-06-04,2021-08-31,30
301303,WEEKS MEDICAL CENTER,2020-10-01,2021-09-30,25
301310,ANDROSCOGGIN VALLEY HOSPITAL,2020-10-01,2021-09-30,25
341320,ALLEGHANY MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
420010,CAROLINA PINES REGIONAL MEDICAL CENT,2020-10-01,2021-09-30,116
422008,PH N GREENVILLE LT ACUTE CARE HOSP,2020-10-01,2021-09-30,44
514011,HIGHLAND-CLARKSBURG HOSPITAL INC.,2020-10-01,2021-09-30,18
521352,UPLAND HILLS HEALTH,2020-10-01,2021-09-30,69
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTE,2020-10-01,2021-09-30,112
50077,SCRIPPS MERCY HOSPITAL,2020-10-01,2021-09-30,523
50324,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,2020-10-01,2021-09-30,365
50424,SCRIPPS GREEN HOSPITAL,2020-10-01,2021-09-30,150
50503,SCRIPPS MEMORIAL HOSPITAL-ENCINITAS,2020-10-01,2021-09-30,171
50660,USC NORRIS CANCER HOSPITAL,2021-01-01,2021-09-30,60
70003,DAY KIMBALL HOSPITAL,2020-10-01,2021-09-30,104
100211,ADVENTHEALTH DADE CITY,2020-10-01,2021-09-30,120
150075,BLUFFTON REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,44
153030,REHABILITATION HOSPITAL OF FT WAYNE,2020-10-01,2021-09-30,36
190151,RICHLAND PARISH HOSPITAL SERVICE DIS,2020-10-01,2021-09-30,38
221302,FAIRVIEW HOSPITAL,2020-10-01,2021-09-30,24
230041,BAY REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,362
230105,MCLAREN NORTHERN MICHIGAN,2020-10-01,2021-09-30,187
250058,SOUTH CENTRAL REGIONAL MEDICAL CENTR,2020-10-01,2021-09-30,268
250138,RIVER OAKS HOSPITAL,2020-10-01,2021-09-30,158
260025,HANNIBAL REGIONAL HOSPITAL,2020-10-01,2021-09-30,99
260040,COXHEALTH,2020-10-01,2021-09-30,867
370014,ALLIANCEHEALTH DURANT,2020-10-01,2021-09-30,111
10038,STRINGFELLOW MEMORIAL HOSPITAL,2020-10-01,2021-09-30,125
10150,REGIONAL MEDICAL CTR OF CENTRAL AL,2020-10-01,2021-09-30,57
44021,OAKRIDGE BEHAVIORAL CENTER,2021-01-01,2021-12-31,
230141,MCLAREN FLINT,2020-10-01,2021-09-30,349
510048,LOGAN REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,140
30010,CARONDELET ST. MARYS HOSPITAL,2020-10-01,2021-09-30,360
30083,ABRAZO SCOTTSDALE CAMPUS,2020-10-01,2021-09-30,128
450369,CHILDRESS REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,39
10120,MONROE COUNTY HOSPITAL,2020-10-01,2021-09-30,46
100028,PARRISH MEDICAL CENTER,2020-10-01,2021-09-30,210
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,2020-10-01,2021-09-30,186
100253,JUPITER MEDICAL CENTER,2020-10-01,2021-09-30,242
101313,MARINERS HOSPITAL,2020-10-01,2021-09-30,16
250050,OKTIBBEHA COUNTY HOSPITAL,2020-10-01,2021-09-30,88
250060,JEFFERSON COUNTY HOSPITAL,2020-10-01,2021-09-30,30
251309,FIELD MEMORIAL COMMUNITY HOSPITAL,2020-10-01,2021-09-30,16
251334,CHOCTAW REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,88
260094,COX MEDICAL CENTER BRANSON,2020-10-01,2021-09-30,157
400016,AUXILIO MUTUO HOSPITAL,2020-10-01,2021-09-30,500
420043,CHEROKEE MEDICAL CENTER,2020-10-01,2021-09-30,31
30011,CARONDELET ST. JOSEPH HOSPITAL,2020-10-01,2021-09-30,486
40019,FORREST CITY MEDICAL CENTER,2020-10-01,2021-09-30,62
170012,SALINA REGIONAL HEALTH CENTER,2020-10-01,2021-09-30,207
170014,ADVENTHEALTH OTTAWA,2020-10-01,2021-09-30,44
170027,PRATT REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,81
180078,PAUL B. HALL REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,72
190118,DESOTO REGIONAL HEALTH SYSTEM,2020-10-01,2021-09-30,34
191302,ST MARTIN HOSPITAL,2020-10-01,2021-09-30,25
220019,HARRINGTON MEMORIAL HOSPITAL,2020-10-01,2021-09-30,119
220101,NEWTON WELLESLEY HOSPITAL,2020-10-01,2021-09-30,273
251318,NORTH SUNFLOWER COUNTY HOSPITAL,2020-10-01,2021-09-30,35
341329,BLUE RIDGE REGIONAL HOSPITAL,2020-11-01,2021-10-31,25
453086,HIGHLANDS REGIONAL REHAB HOSPITAL,2021-01-01,2021-11-30,41
31309,SAGE MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
51336,MEE MEMORIAL HOSPITAL,2020-10-01,2021-09-30,61
260190,LEES SUMMIT MEDICAL CENTER,2020-10-01,2021-09-30,80
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,2020-10-01,2021-09-30,18
50254,MARSHALL HOSPITAL,2020-11-01,2021-10-31,111
180115,ROCKCASTLE HOSPT. & RESPIR CARE CTR,2020-11-01,2021-10-31,173
501331,PULLMAN REGIONAL HOSPITAL,2021-01-01,2021-12-31,25
43034,SOUTHEAST REHAB LLC,2020-11-01,2021-10-31,10
370039,HILLCREST HOSPITAL CLAREMORE,2020-11-01,2021-10-31,41
30014,HONORHEALTH JOHN C. LINCOLN MED CTR,2021-01-01,2021-12-31,258
41307,CROSSRIDGE COMMUNITY HOSPITAL,2020-10-01,2021-09-30,15
190002,LAFAYETTE GENERAL MEDICAL CENTER,2020-10-01,2021-09-30,432
190145,LASALLE GENERAL HOSPITAL  INC.,2020-10-01,2021-09-30,46
230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,2020-11-01,2021-10-31,34
520049,BELLIN MEMORIAL HOSPITAL,2020-10-01,2021-09-30,175
521356,OCONTO HOSPITAL & MEDICAL CENTER,2020-10-01,2021-09-30,10
453314,TEXAS SCOTTISH RITE HOSPITAL FOR CRI,2020-10-01,2021-09-30,
60064,CENTURA PORTER ADVENTIST HOSPITAL,2021-01-01,2021-12-31,224
74008,NATCHAUG HOSPITAL,2020-10-01,2021-09-30,57
260074,MOBERLY REGIONAL MEDICAL CENTER,2020-11-01,2021-10-31,67
62011,CRAIG HOSPITAL,2020-10-01,2021-09-30,93
191316,POINTE COUPEE GENERAL HOSPITAL,2020-11-01,2021-10-31,25
220002,MOUNT AUBURN HOSPITAL,2020-10-01,2021-09-30,201
220030,BAYSTATE WING HOSPITAL & MEDICAL CTR,2020-10-01,2021-09-30,68
301308,VALLEY REGIONAL HOSPITAL,2020-10-01,2021-09-30,25
370170,LAWTON INDIAN HOSPITAL,2020-10-01,2021-09-30,38
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,2020-10-01,2021-09-30,78
53038,TOTALLY KIDS REHABILITATION HOSPITAL,2021-01-01,2021-12-31,
190202,OCHSNER MEDICAL CENTER - BATON ROUGE,2020-10-01,2021-09-30,171
220016,BAYSTATE FRANKLIN MEDICAL CENTER,2020-10-01,2021-09-30,89
220065,BAYSTATE NOBLE HOSPITAL,2020-10-01,2021-09-30,85
233027,REHABILITATION INSTITUTE OF MICHIGAN,2020-11-01,2021-10-31,69
320060,ZUNI COMPREHENSIVE HEALTH CENTER,2020-10-01,2021-09-30,27
430084,USPHS HOSPITAL - ROSEBUD,2020-10-01,2021-09-30,35
673038,MEMORIAL HERMANN REHAB HOSP KATY,2020-10-01,2021-09-30,35
170086,STORMONT-VAIL REGIONAL HEALTH CENTER,2020-10-01,2021-09-30,438
452073,KINDRED HOSPITAL SAN ANTONIO CENTRAL,2021-06-01,2021-08-31,44
30068,MT. GRAHAM REGIONAL MEDICAL CENTER,2021-01-01,2021-09-27,25
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,2020-10-01,2021-09-30,47
251317,SIMPSON GENERAL HOSPITAL CAH,2021-01-01,2021-12-31,35
454149,PERIMETER BEHAVIORAL HOSPITAL OF DAL,2021-01-01,2021-12-31,77
104082,PALM POINT BEHAVIORAL HEALTHCARE,2020-11-01,2021-10-31,74
454138,GARLAND BEHAVIORAL HOSPITAL,2021-05-01,2021-09-15,72
670132,METHODIST SOUTHLAKE MEDICAL CENTER,2021-06-01,2021-09-30,54
50696,KECK HOSPITAL OF USC,2021-01-01,2021-09-30,331
371314,PHYSICIANS HOSPITAL AT ANADARKO,2020-10-01,2021-10-31,25
371316,STROUD REGIONAL MEDICAL CENTER,2020-10-01,2021-10-31,25
170075,MERCY HOSPITAL  INC.,2020-10-01,2021-09-30,16
220088,NEW ENGLAND BAPTIST HOSPITAL,2020-10-01,2021-09-30,75
250097,SOUTHWEST MS REGIONAL MED CENTER,2020-10-01,2021-09-30,160
513025,PETERSON HEALTHCARE AND REHAB,2021-01-01,2021-12-31,172
201312,WALDO COUNTY GENERAL HOSPITAL,2020-10-01,2021-09-30,25
503300,SEATTLE CHILDRENS HOSPITAL,2020-10-01,2021-09-30,357
341316,HIGHLANDS CASHIERS HOSPITAL,2020-12-01,2021-11-30,24
30113,USPHS HOSPITAL-WHITERIVER,2020-10-01,2021-09-30,40
50030,OROVILLE HOSPITAL,2020-12-01,2021-11-30,279
111311,JENKINS COUNTY MEDICAL CENTER,2021-01-01,2021-06-30,25
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,2020-10-01,2021-09-30,31
430090,SIOUX FALLS SPECIALTY HOSPITAL,2021-01-01,2021-12-31,33
131326,CASSIA REGIONAL HOSPITAL,2021-01-01,2021-12-31,25
200018,THE AROOSTOOK MEDICAL CENTER,2020-10-01,2021-09-30,108
200019,SOUTHERN MAINE HEALTH CARE,2020-10-01,2021-09-30,180
200021,MID COAST HOSPITAL,2021-01-01,2021-09-30,92
200033,EASTERN MAINE MEDICAL CENTER,2020-10-01,2021-09-30,377
201300,BLUE HILL MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
201302,LINCOLNHEALTH,2020-10-01,2021-09-30,67
201309,MAYO REGIONAL HOSPITAL,2020-10-01,2021-09-30,25
201313,SEBASTICOOK VALLEY HOSPITAL,2020-10-01,2021-09-30,25
220033,BEVERLY HOSPITAL,2020-10-01,2021-09-30,337
220171,LAHEY CLINIC HOSPITAL  INC.,2020-10-01,2021-09-30,345
221303,ATHOL MEMORIAL HOSPITAL,2020-10-01,2021-09-30,21
340003,NORTHERN HOSP OF SURRY CO,2020-10-01,2021-09-30,133
343025,CAREPARTNERS REHAB HOSPITAL,2020-12-01,2021-11-30,74
362032,AULTMAN SPECIALTY HOSPITAL,2020-10-01,2021-09-30,30
464013,SALT LAKE CITY BEHAVIORAL HEALTH,2021-01-01,2021-12-31,118
70016,ST. MARYS HOSPITAL,2020-10-01,2021-09-30,164
104076,UNIVERSITY BEHAVIORAL CENTER,2021-01-01,2021-12-31,112
201301,CHARLES A DEAN MEMORIAL HOSPITAL,2020-10-01,2021-09-30,25
250043,NESHOBA COUNTY GENERAL HOSPITAL,2020-10-01,2021-09-30,208
251315,BAPTIST MEDICAL CENTER - LEAKE  INC.,2020-10-01,2021-09-30,25
264033,PERIMETER BEHAVIORAL HOSPITAL OF SP,2021-01-01,2021-12-31,
370057,MUSCOGEE CREEK NATION MED CENTER,2020-10-01,2021-09-30,66
454104,UBH DENTON HOSPITAL,2021-01-01,2021-12-31,104
104026,FT. LAUDERDALE HOSPITAL,2021-01-01,2021-12-31,182
111311,JENKINS COUNTY MEDICAL CENTER,2021-07-01,2021-12-31,25
111335,LIBERTY REGIONAL MEDICAL CENTER,2020-12-01,2021-11-30,133
220095,HENRY HEYWOOD MEMORIAL HOSPITAL,2020-10-01,2021-09-30,134
414003,EMMA P. BRADLEY HOSPITAL,2020-10-01,2021-09-30,
440137,VANDERBILT BEDFORD HOSPITAL,2021-01-01,2021-06-30,49
442014,SSH -MEMPHIS  INC,2020-12-01,2021-11-30,39
480002,GOV. JUAN F. LUIS HOSPITAL,2020-10-01,2021-09-30,77
524038,BELLIN PSYCHIATRIC CENTER  INC.,2020-10-01,2021-09-30,80
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,2020-10-01,2021-09-30,10
70002,SAINT FRANCIS HOSPITAL,2020-10-01,2021-09-30,466
201308,HOULTON REGIONAL HOSPITAL,2020-10-01,2021-09-30,25
220060,BETH ISRAEL DEACONESS - PLYMOUTH,2020-10-01,2021-09-30,169
220083,BETH ISRAEL DEACONESS HOSPITAL- NEED,2020-10-01,2021-09-30,58
344007,OLD VINEYARD,2021-01-01,2021-12-31,164
371333,CREEK NATION COMMUNITY HOSPITAL,2020-10-01,2021-09-30,25
